SHRP_ID,IRI_SCORE,FWD_SCORE,RHI,ROAD_CONDITION
A447,61.269257,,61.269256591796875,Fair
A448,60.033783,,60.033782958984375,Fair
A449,58.49495,,58.49494934082031,Fair
A450,61.89884,,61.898841857910156,Fair
A451,46.391,,46.39099884033203,Poor
A452,50.00117,,50.00117111206055,Fair
A453,60.842377,,60.842376708984375,Fair
A454,58.154808,,58.154808044433594,Fair
A455,52.728626,,52.7286262512207,Fair
A456,56.556965,,56.55696487426758,Fair
A457,44.345333,,44.345333099365234,Poor
A458,56.21389,,56.213890075683594,Fair
A459,60.226044,,60.226043701171875,Fair
A460,60.383396,,60.38339614868164,Fair
A461,61.417217,,61.41721725463867,Fair
A462,61.72229,,61.7222900390625,Fair
A601,1.3654251,,1.3654251098632812,Poor
A602,8.552019,,8.552019119262695,Poor
A603,55.395737,,55.39573669433594,Fair
A604,53.194088,,53.194087982177734,Fair
A605,25.105917,,25.10591697692871,Poor
A606,51.04254,,51.04254150390625,Fair
A607,52.163574,,52.16357421875,Fair
A608,56.56415,,56.564151763916016,Fair
A805,56.078526,,56.07852554321289,Fair
A806,60.623486,,60.62348556518555,Fair
A901,72.15207,,72.15206909179688,Fair
A902,61.265877,,61.26587677001953,Fair
A903,55.341087,,55.341087341308594,Fair
A959,75.05709,,75.05709075927734,Good
A960,73.026,,73.0260009765625,Fair
A961,73.24468,,73.24468231201172,Fair
AA01,68.12292,,68.12291717529297,Fair
AA02,72.40491,,72.4049072265625,Fair
AA03,63.435516,,63.435516357421875,Fair
AA59,74.89682,,74.89682006835938,Fair
AA60,51.411255,,51.4112548828125,Fair
AA61,47.864983,,47.86498260498047,Poor
B310,43.362755,,43.362754821777344,Poor
B320,37.293655,,37.29365539550781,Poor
B321,45.886856,,45.88685607910156,Poor
B330,44.949467,,44.949466705322266,Poor
B340,51.737663,,51.73766326904297,Fair
B350,43.002403,,43.002403259277344,Poor
B351,60.682465,,60.682464599609375,Fair
B352,62.391678,,62.39167785644531,Fair
B360,48.699142,,48.69914245605469,Poor
B410,16.22441,,16.224409103393555,Poor
B411,6.2788253,,6.278825283050537,Poor
B412,12.714358,,12.71435832977295,Poor
B413,12.07544,,12.075440406799316,Poor
B420,0.78750396,,0.7875039577484131,Poor
B421,16.699327,,16.69932746887207,Poor
B423,18.373741,,18.373741149902344,Poor
B430,21.850765,,21.850765228271484,Poor
B441,0.0,,0.0,Poor
B442,0.8831607,,0.8831607103347778,Poor
B443,0.22160532,,0.2216053158044815,Poor
B451,4.829634,,4.829634189605713,Poor
B452,28.507418,,28.507417678833008,Poor
B453,13.491113,,13.49111270904541,Poor
B901,50.680813,,50.68081283569336,Fair
B902,55.226315,,55.226314544677734,Fair
B903,55.897934,,55.89793395996094,Fair
B959,64.53643,,64.53643035888672,Fair
B960,66.80963,,66.80963134765625,Fair
B961,61.144413,,61.144412994384766,Fair
B964,67.969086,,67.96908569335938,Fair
BA01,63.286068,,63.286067962646484,Fair
BA02,64.10998,,64.10997772216797,Fair
BA03,64.742134,,64.74213409423828,Fair
BA59,55.70696,,55.70695877075195,Fair
BA60,55.83214,,55.8321418762207,Fair
BA61,55.742134,,55.74213409423828,Fair
